frame_id,filename,ts_iso,ts,width,height,leaf_coverage_pct,exg_mean,vari_mean,cive_mean,sharpness_laplacian,fruit_count,ripe,unripe,stains_area_pct,stains_method,malformed,frame_idx,ripe_pct
Mision_Prueba__photo_51_2025-11-11_22-53-05,photo_51_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,77.25748697916667,0.1733008325099945,1.124546766281128,18.727052688598633,12902.015033321359,142,0,142,7.589436848958333,lab_threshold_v0.1,341,49,0.0
Mision_Prueba__photo_52_2025-11-11_22-53-05,photo_52_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,75.722900390625,0.15628103911876678,1.8370310068130493,18.733787536621094,10885.786613981014,310,0,310,7.924397786458333,lab_threshold_v0.1,296,50,0.0
Mision_Prueba__photo_53_2025-11-11_22-53-05,photo_53_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,42.433349609375,0.1664625108242035,0.6577004194259644,18.729928970336914,10062.797744665808,362,0,362,2.8181966145833335,lab_threshold_v0.1,191,51,0.0
Mision_Prueba__photo_54_2025-11-11_22-53-05,photo_54_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,27.985270182291664,0.16522900760173798,3.651456594467163,18.730405807495117,8301.752188566206,348,0,348,1.4139811197916667,lab_threshold_v0.1,236,52,0.0
Mision_Prueba__photo_55_2025-11-11_22-53-05,photo_55_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,77.09440104166667,0.15104280412197113,9.501534461975098,18.7353515625,13331.796470389201,168,0,168,8.234130859375,lab_threshold_v0.1,280,53,0.0
Mision_Prueba__photo_56_2025-11-11_22-53-05,photo_56_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,50.32983398437501,0.10190144181251526,22.223546981811523,18.754924774169922,13778.282715204528,115,0,115,3.7671712239583335,lab_threshold_v0.1,170,54,0.0
Mision_Prueba__photo_57_2025-11-11_22-53-05,photo_57_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,55.27823893229167,0.11573533713817596,12.529779434204102,18.749256134033203,15944.951939043838,123,0,123,4.6923828125,lab_threshold_v0.1,233,55,0.0
Mision_Prueba__photo_58_2025-11-11_22-53-05,photo_58_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,44.494547526041664,0.0919962003827095,50.91061782836914,18.75868797302246,16324.917814924447,50,0,50,3.3457845052083335,lab_threshold_v0.1,280,56,0.0
Mision_Prueba__photo_59_2025-11-11_22-53-05,photo_59_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,34.831949869791664,0.10915905982255936,8.162120819091797,18.752166748046875,18136.88660285436,87,0,87,1.762451171875,lab_threshold_v0.1,143,57,0.0
Mision_Prueba__photo_5_2025-11-11_22-53-05,photo_5_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,57.912760416666664,0.14471514523029327,1.2361044883728027,18.73851203918457,3927.071701437311,123,1,122,5.86328125,lab_threshold_v0.1,164,58,0.8130081300813009
